Ano	Quantidade	
Q1/2020	0.5	billion
Q2/2020	0.9	billion
Q3/2020	1.4	billion
Q4/2020	1.7	billion
Q1/2021	2	billion
Ano		Quantidade
2016	0.6	billion
2017	3.1	billion
2018	3.4	billion
2019	9.3	billion
2020	16.9	billion
Ano		Subscribers
Q1/2020	26.5	million
Q2/2020	33.5	million
Q3/2020	57.5	million
Q4/2020	73.3	million
Q1/2021	94.9	million
Q2/2021	103.6	million
Ano		Downloads
H1/2020	50	million
H2/2020	100	million
H1/2021	125	million
