Ano	Organizador	Campeão	Vice-campeão	Terceiro colocado	Quarto colocado
1986	FPF	Inter de Limeira	Palmeiras	Corinthians	Santos
1987	FPF	São Paulo	Corinthians	Santos	Palmeiras
1988	FPF	Corinthians	Guarani	São Paulo	São José-SP
1989	FPF	São Paulo	São José-SP	Corinthians	Bragantino
1990	FPF	Bragantino	Novorizontino	Corinthians	Palmeiras
1991	FPF	São Paulo	Corinthians	Palmeiras	Portuguesa
1992	FPF	São Paulo	Palmeiras	Mogi Mirim	Ponte Preta
1993	FPF	Palmeiras	Corinthians	São Paulo	Santos
1994	FPF	Palmeiras	São Paulo	Corinthians	Santos
1995	FPF	Corinthians	Palmeiras	Portuguesa	São Paulo
1996	FPF	Palmeiras	São Paulo	Portuguesa	Corinthians
1997	FPF	Corinthians	São Paulo	Santos	Palmeiras
1998	FPF	São Paulo	Corinthians	Portuguesa	Palmeiras
1999	FPF	Corinthians	Palmeiras	São Paulo	Santos
2000	FPF	São Paulo	Santos	Corinthians	Palmeiras
2001	FPF	Corinthians	Botafogo-SP	Ponte Preta	Santos
2002	FPF	Ituano	União São João	Rio Branco-SP	Juventus-SP
2003	FPF	Corinthians	São Paulo	Portuguesa Santista	Palmeiras
2004	FPF	São Caetano	Paulista	Santos	Palmeiras
2005	FPF	São Paulo	Corinthians	Santos	Santo André
2006	FPF	Santos	São Paulo	Palmeiras	Noroeste
2007	FPF	Santos	São Caetano	São Paulo	Bragantino
2008	FPF	Palmeiras	Ponte Preta	São Paulo	Guaratinguetá
2009	FPF	Corinthians	Santos	Palmeiras	São Paulo
2010	FPF	Santos	Santo André	Grêmio Prudente	São Paulo
2011	FPF	Santos	Corinthians	Palmeiras	São Paulo
2012	FPF	Santos	Guarani	São Paulo	Ponte Preta
2013	FPF	Corinthians	Santos	São Paulo	Mogi Mirim
2014	FPF	Ituano	Santos	Palmeiras	Penapolense
2015	FPF	Santos	Palmeiras	Corinthians	São Paulo
2016	FPF	Santos	Audax	Corinthians	Palmeiras
2017	FPF	Corinthians	Ponte Preta	Palmeiras	São Paulo
2018	FPF	Corinthians	Palmeiras	São Paulo	Santos
2019	FPF	Corinthians	São Paulo	Palmeiras	Santos
2020	FPF	Palmeiras	Corinthians	Mirassol	Ponte Preta
2021	FPF	São Paulo	Palmeiras	Corinthians	Mirassol
